dataName,friendlyName,orgType,tier,homeRegionMapTemplateName,randomized,takeoverDefense,allowedOnMarket,requiresNationality,requiredOwnerTraits/0,affinities/0,restricted/0,costMoney,costInfluence,costOps,chanceIncomeMoney,incomeMoney,chanceIncomeInfluence,incomeInfluence,chanceEspionage,espionage,chanceSecurity,security,chanceSpoilsBonus,spoilsBonus,iconResource,chanceIncomeOps,incomeOps,chanceInvestigation,investigation,chanceOppressionBonus,oppressionBonus,missionsGrantedNames/0,missionsGrantedNames/1,missionsGrantedNames/2,missionsGrantedNames/3,chanceCommand,command,minScenarioYear,chanceIncomeResearch,incomeResearch,chanceSpaceDevBonus,spaceDevBonus,chanceSpaceflightBonus,spaceflightBonus,chanceMCBonus,MCBonus,chanceMiningBonus,miningBonus,techBonuses/0/category,techBonuses/0/bonus,affinities/1,restricted/1,restricted/2,restricted/3,chancePersuasion,persuasion,grantsMarked,chanceAdministration,administration,chanceScience,science,chanceUnityBonus,unityBonus,chanceKnowledgeBonus,knowledgeBonus,prohibitedOwnerTraits/0,projectsGranted,chanceMilitaryBonus,militaryBonus,chanceIncomeMissionControl,incomeMissionControl,chanceEconomyBonus,economyBonus,chanceIncomeBoost,incomeBoost,chanceEnvironmentBonus,environmentBonus,chanceWelfareBonus,welfareBonus,restricted/4,restricted/5,restricted/6,randCostMoney,randIncomeMoney,requiredTechName,randOppressionBonus,randIncomeOps,randCostInfluence,randCommand,randEspionage,randMilitaryBonus,randSpaceflightBonus,randMCBonus,randIncomeBoost,randIncomeMissionControl,randIncomeResearch,randSpaceDevBonus,randScience,randAdministration,randInvestigation,randSecurity,randIncomeInfluence,randEconomyBonus,randSpoilsBonus,randKnowledgeBonus,randWelfareBonus,randUnityBonus,randPersuasion,chanceGovernmentBonus,governmentBonus,randGovernmentBonus,randCostOps,randEnvironmentBonus,costBoost,randCostBoost,randMiningBonus,affinities/2
GoldenCrescentCartel,Golden Crescent Cartel,Criminal,2,map_Afghanistan,false,-2,true,true,Criminal,Exploit,Cooperate,90,120,10,100,45,100,1,100,1,100,2,100,0.05,orglogos/GoldenCrescentCartel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoordinationofSecurityServices,Coordination of Security Services,Security,2,map_Algeria,false,6,true,true,Government,,,,100,,100,-8,,,100,1,100,2,,,orglogos/CoordinationofSecurityServices,100,2,100,1,100,0.02,InvestigateCouncilor,DetectCouncilActivity,Detain,Crackdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MilliIstihbaratTeskilati,Milli Istihbarat Teskilati,Security,2,map_Anatolia,false,3,true,true,Government,,,,100,,100,-10,,,100,1,100,2,,,orglogos/TurkishIntelligence,100,1,100,2,,,InvestigateCouncilor,DetectCouncilActivity,Unrest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpecialForcesCommand,Special Forces Command,Security,1,map_Anatolia,false,,true,true,Government,,,,60,,100,-1,,,,,100,2,,,orglogos/SpecialForcesCommand_MaroonBerets,100,1,,,,,AssaultAlienAsset,Extract,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NationalSecurityCommittee,National Security Committee,Investigations,1,map_Astana,false,3,true,true,Government,,,,40,,100,-5,,,,,100,1,,,orglogos/NSC_Kazakhstan,,,100,1,,,InvestigateCouncilor,DetectCouncilActivity,,,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.N.OfficeforOuterSpaceAffairs,U.N. Office for Outer Space Affairs,Aerospace,2,map_Austria,false,,true,false,Government,Escape,,,120,,100,-1,,,,,,,,,orglogos/UNOOSA,,,,,,,Advise,,,,,,,100,8,100,0.03,100,0.02,100,0.02,100,0.02,SpaceScience,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DirektionStaatsschutzundNachrichtendienst,Direktion Staatsschutz und Nachrichtendienst,Security,1,map_Austria,false,3,true,true,Government,Resist,,,100,,100,-6,,,100,1,100,1,,,orglogos/DirektionStaatsschutzundNachrichtendienst,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,,,,,2021,,,,,,,,,,,,,Cooperate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagdkommando,Jagdkommando ,Security,1,map_Austria,false,,true,true,Government,,,,100,,100,-1,,,,,100,1,,,orglogos/Jagdkommando,100,1,,,,,AssaultAlienAsset,Extract,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StateSecurityService,State Security Service,Security,1,map_Azerbaijan,false,6,true,true,Government,,,,100,,100,-5,,,100,1,100,2,,,orglogos/StateSecurityService,100,1,100,1,100,0.01,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IslamicStateofIraqandtheLevant,Islamic State of Iraq and the Levant,Criminal,2,map_Baghdad,false,,true,true,Sociopath,Destroy,Resist,,125,10,,,,,100,1,,,,,orglogos/isil,100,2,,,,,Assassinate,Unrest,SabotageFacilities,,100,1,,,,,,,,,,,,,,,Cooperate,Escape,Appease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NationalSecurityIntelligence,National Security Intelligence,Security,1,map_Bangladesh,false,6,true,true,Government,,,,80,,100,-5,,,100,1,100,1,,,orglogos/NationalSecurityIntelligence,,,100,1,100,0.02,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NationalTelecommunicationMonitoringCentre,National Telecommunication Monitoring Centre,Investigations,1,map_Bangladesh,false,,true,true,Government,,,,60,,100,-2,,,,,,,,,orglogos/NationalTelecommunicationMonitoringCentre,,,100,1,,,InvestigateCouncilor,InvestigateAlienActivity,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UnitedFrontWorkDepartment,United Front Work Department,Influence,3,map_Beijing,false,4,true,true,Government,,,,150,,100,-40,100,4,100,1,,,,,orglogos/UnitedFrontWorkDepartment,,,100,1,,,Propaganda,GainInfluence,DefendInterests,,,,1942,,,,,,,,,,,,,,,,,100,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
